TimeStamp1,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57
06-11-2020 13:06,14976.34,5.215638184,242.1119232,9.171347618,50.10193634,0.79229486,4.016510986,6.582951172,2.673650879,2.130530762,1.831514038,418.7570496,418.1690063,421.9568787,416.1452332,240.7913513,242.9124756,242.6319275,11.12545776,8.738251686,7.650333405,18698.952,1.774147153,1.612988114,2.610629797,6.082639217,4.477612019,6.896551609,11170.917,0,0,2.335865234,1.607756714,1.272016235,1.300823486,1.397955444,1.317732178,0,0,0,0,0,0,0.800918698,26601.59766,0.87366128,0.754627347,0.694516242,3.923819542,0,0,1503.058105,8,-0.79229486,-0.87366128,-0.754627347,-0.694516242
06-11-2020 13:12,14976.897,5.20763623,241.3135223,9.160060883,50.04319,0.79812932,3.931102539,6.524802246,2.654699951,2.11206958,1.814307251,417.6898499,417.2211914,420.6066284,415.2417603,240.2015533,242.2240906,241.5149231,11.13212681,8.760837555,7.587218285,18699.652,1.98094058,1.878854275,2.948125601,5.31914854,6.239177704,10.22974014,11171.342,0,0,2.339164795,1.600421509,1.268049805,1.255285034,1.37821936,1.297598145,0,0,0,0,0,0,0.80091846,26602.57422,0.881140888,0.757750392,0.698916793,3.89601016,0,0,1501.295654,8,-0.79812932,-0.881140888,-0.757750392,-0.698916793
06-11-2020 13:18,14977.453,5.22498291,241.3137665,9.156878471,50.06230545,0.795530379,3.979594482,6.56792334,2.678269531,2.118770752,1.826980347,417.9544373,417.1368408,420.6967163,416.0297241,240.1395264,242.2501221,241.5516205,11.13502121,8.753241539,7.582374573,18700.348,1.998334408,1.974574804,2.99373579,5.31914854,4.477612019,8.771929741,11171.763,0,0,2.351335205,1.607910522,1.265736694,1.282321777,1.379787354,1.317485229,0,0,0,0,0,0,0.800918341,26603.54688,0.87793076,0.758888423,0.692802548,3.880709171,0,0,1501.869141,8,-0.795530379,-0.87793076,-0.758888423,-0.692802548
06-11-2020 13:25,14978.028,5.406834961,242.1184845,9.348110199,50.02193069,0.804663658,3.989499023,6.719373047,2.72857666,2.162704834,1.884037842,419.3034668,417.4081726,421.0193787,419.4829102,241.467865,241.859375,243.0282593,11.34861755,8.926168442,7.769542217,18701.06,2.110929012,1.962517023,3.118468761,4.255319118,4.285714626,6.557376862,11172.18,0,0,2.413762939,1.662314575,1.33075769,1.272351929,1.383474731,1.333672607,0,0,0,0,0,0,0.800918639,26604.53906,0.884623528,0.768627584,0.706332803,3.872883797,0,0,1500.657959,8,-0.804663658,-0.884623528,-0.768627584,-0.706332803
06-11-2020 13:31,14978.606,5.42551416,240.8841553,9.333550453,50.03836441,0.81098032,3.914182129,6.690068848,2.704847656,2.152948242,1.888961792,416.9302673,415.2853394,418.9559021,416.5496216,239.8445282,241.1633453,241.6446075,11.30592537,8.933670998,7.761053562,18701.774,1.886792421,1.698089004,3.042517662,4.301075459,4.347826004,4.838709354,11172.598,0,0,2.407154541,1.675167236,1.343192383,1.233615967,1.352405884,1.328160522,0,0,0,0,0,0,0.800918996,26605.53906,0.889940917,0.778080523,0.711074471,3.839293242,0,0,1501.150879,8,-0.81098032,-0.889940917,-0.778080523,-0.711074471
06-11-2020 13:50,14980.334,5.27745166,238.7102051,9.190465927,49.93490601,0.808600605,3.840004883,6.526648438,2.643213379,2.103661621,1.834811157,413.4441223,412.4092712,416.2769165,411.6462097,237.5172729,239.556015,239.0573425,11.12823963,8.79759407,7.645563126,18703.892,2.155785561,1.764524579,2.955451488,5.31914854,5.97014904,8.333333969,11173.825,0,0,2.346011475,1.63401709,1.29742334,1.217705688,1.324907715,1.297391479,0,0,0,0,0,0,0.800920665,26608.51953,0.887560308,0.776749015,0.707115471,3.854692221,0,0,1498.047119,8,-0.808600605,-0.887560308,-0.776749015,-0.707115471
06-11-2020 13:57,14980.895,5.231932617,238.7932281,9.13064003,50.03976822,0.810033321,3.7874021,6.458910645,2.61245874,2.089214844,1.811266113,413.1304626,412.3289185,416.4066162,410.6557922,237.7212982,239.7833252,238.875061,11.0657177,8.71394062,7.612259865,18704.586,2.163545132,1.900229216,2.986650229,6.216323376,4.347826004,6.666666985,11174.23,0,0,2.322560547,1.620151123,1.289221191,1.196098999,1.319063599,1.272239502,0,0,0,0,0,0,0.800920963,26609.49609,0.889032423,0.77548331,0.711778998,3.850702763,0,0,1501.192993,8,-0.810033321,-0.889032423,-0.77548331,-0.711778998
06-11-2020 14:03,14981.452,5.177153809,238.4055023,9.054448128,50.04933167,0.810131907,3.746418945,6.390507324,2.621025391,2.0628396,1.76120105,412.9184265,412.0182495,415.7300415,411.0069275,237.2645264,239.2811279,238.6708527,11.01243019,8.666703224,7.48420763,18705.274,1.986453652,1.693613768,2.977980375,5.494505882,4.477612019,8.928571701,11174.636,0,0,2.330367676,1.596356445,1.250429199,1.199650146,1.30650415,1.240264648,0,0,0,0,0,0,0.800921261,26610.4668,0.88910538,0.773863614,0.709986627,3.935307264,0,0,1501.47998,8,-0.810131907,-0.88910538,-0.773863614,-0.709986627
06-11-2020 14:09,14982.005,5.189463867,237.8497772,9.062986374,49.93312836,0.811006129,3.743536865,6.398797363,2.590333252,2.072174805,1.790568848,411.9566345,410.9917603,414.8063965,410.0716858,236.5932465,238.798233,238.1578522,11.01570702,8.663610458,7.509640694,18705.956,2.167690277,1.776670694,2.896055222,4.611566067,6.332299709,8.47457695,11175.034,0,0,2.306833252,1.604685181,1.277945801,1.17828125,1.31106604,1.254189575,0,0,0,0,0,0,0.800921679,26611.43164,0.890554607,0.774396658,0.713709354,3.825549126,0,0,1497.993896,8,-0.811006129,-0.890554607,-0.774396658,-0.713709354
06-11-2020 14:29,14983.673,5.224580566,235.8191071,9.095567703,49.99287796,0.819958925,3.647337402,6.371758789,2.584473389,2.066962646,1.770398071,408.019165,407.0571289,411.8772583,405.1231384,233.9911194,236.9211273,236.545105,11.01438141,8.715981483,7.55633831,18707.996,1.968792081,1.841119647,3.077492952,4.347826004,4.477612019,8.771929741,11176.21,0,0,2.313570557,1.618637207,1.292372925,1.151908447,1.285436646,1.20999231,0,0,0,0,0,0,0.800923467,26614.33398,0.895180643,0.783099473,0.729990005,3.861029148,0,0,1499.786377,8,-0.819958925,-0.895180643,-0.783099473,-0.729990005
